score_name,n_common,pearson_with_target_rank_percentile,spearman_with_target_rank_percentile,path
layerweighted_top5mean_alpha2__itext_all__C_toi_HminusG,608,0.33332274402987533,0.3333227440298754,../ADHH/LLaVA/results/coco/llava-v1.5-7b_base_original_qa_n3000/surrogate_hh_scores/surrogate_score_zoo/ranked_heads_layerweighted_top5mean_alpha2__itext_all__C_toi_HminusG.json
layerweighted_top5mean_alpha2__txt_attn_raw_all__C_toi_HminusG,608,0.3330286639452689,0.33302866394526914,../ADHH/LLaVA/results/coco/llava-v1.5-7b_base_original_qa_n3000/surrogate_hh_scores/surrogate_score_zoo/ranked_heads_layerweighted_top5mean_alpha2__txt_attn_raw_all__C_toi_HminusG.json
Specific_ratio_delta_x_hall,608,0.2914997294121517,0.2914997294121517,../ADHH/LLaVA/results/coco/llava-v1.5-7b_base_original_qa_n3000/surrogate_hh_scores/surrogate_score_zoo/ranked_heads_Specific_ratio_delta_x_hall.json
Hall_ratio_minus_all,608,0.28986531046698694,0.28986531046698727,../ADHH/LLaVA/results/coco/llava-v1.5-7b_base_original_qa_n3000/surrogate_hh_scores/surrogate_score_zoo/ranked_heads_Hall_ratio_minus_all.json
RelC_image_drop,608,0.2814777278650811,0.28147772786508113,../ADHH/LLaVA/results/coco/llava-v1.5-7b_base_original_qa_n3000/surrogate_hh_scores/surrogate_score_zoo/ranked_heads_RelC_image_drop.json
RelC_text_hall_minus_nonhall,608,0.16129401003502897,0.16129401003502908,../ADHH/LLaVA/results/coco/llava-v1.5-7b_base_original_qa_n3000/surrogate_hh_scores/surrogate_score_zoo/ranked_heads_RelC_text_hall_minus_nonhall.json
RelC_logtoi_hall_minus_nonhall,608,0.14356559395420881,0.14356559395420895,../ADHH/LLaVA/results/coco/llava-v1.5-7b_base_original_qa_n3000/surrogate_hh_scores/surrogate_score_zoo/ranked_heads_RelC_logtoi_hall_minus_nonhall.json
C_ratio_hall_minus_nonhall,608,0.12471504985266096,0.12471504985266099,../ADHH/LLaVA/results/coco/llava-v1.5-7b_base_original_qa_n3000/surrogate_hh_scores/surrogate_score_zoo/ranked_heads_C_ratio_hall_minus_nonhall.json
Specific_ratio_threefactor,608,0.11680991235687332,0.11680991235687357,../ADHH/LLaVA/results/coco/llava-v1.5-7b_base_original_qa_n3000/surrogate_hh_scores/surrogate_score_zoo/ranked_heads_Specific_ratio_threefactor.json
RelC_ratio_hall_minus_nonhall,608,-0.056684897353877044,-0.05668489735387723,../ADHH/LLaVA/results/coco/llava-v1.5-7b_base_original_qa_n3000/surrogate_hh_scores/surrogate_score_zoo/ranked_heads_RelC_ratio_hall_minus_nonhall.json
low_image_hall,608,-0.32911368277536435,-0.3291136827753643,../ADHH/LLaVA/results/coco/llava-v1.5-7b_base_original_qa_n3000/surrogate_hh_scores/surrogate_score_zoo/ranked_heads_low_image_hall.json
