layer,head,head_id,score,Itext_all,Itext_object,Itext_hallucinated,Itext_non_hallucinated,Img_hallucinated,Img_non_hallucinated,RawTOI_hallucinated,RawTOI_non_hallucinated,image_drop_GminusH,C_toi_HminusG,global_rank
19,18,L19H18,0.5923262853427026,0.5923262853427026,0.6162590759295067,0.6415642207038814,0.6108992522037109,0.03531631116551914,0.03487725973999943,40.182049536581424,34.772536369075226,-0.00043905142551971255,5.409513167506198,46
17,28,L17H28,0.5903708796638484,0.5903708796638484,0.6320958858695478,0.5745030189382618,0.6442944967594367,0.0223448870853446,0.025708108940867485,49.52363555617125,45.728224399937275,0.0033632218555228847,3.7954111562339747,47
12,24,L12H24,0.5846327338293841,0.5846327338293841,0.646684243579057,0.673231904962282,0.6410612453067731,0.018680619525498356,0.025661199414287482,47.433848198794,34.418389847431165,0.006980579888789126,13.015458351362838,48
11,6,L11H6,0.5843947813965411,0.5843947813965411,0.695293871857065,0.6454196912290036,0.7058576057941103,0.08951968845279737,0.06696671708212056,10.578803598556519,15.445581455183255,-0.022552971370676814,-4.866777856626737,49
15,25,L15H25,0.5840789789111234,0.5840789789111234,0.6078757349418552,0.6262322719069733,0.603987679638227,0.015364436496948373,0.016759602329169405,99.43109965237927,80.96056913420476,0.001395165832221032,18.470530518174513,50
23,18,L23H18,0.5790402039367751,0.5790402039367751,0.604322428726659,0.6173898420971016,0.6015546503621343,0.01276336584625573,0.018549301841240137,87.42174897725869,55.365929366297216,0.005785935994984408,32.05581961096147,51
20,20,L20H20,0.5760937107671724,0.5760937107671724,0.5154152897091621,0.4774350846807162,0.5234597884005189,0.07153343494938708,0.1291683070629164,11.277019876226543,10.338783013302404,0.05763487211352933,0.9382368629241391,52
19,27,L19H27,0.5754979704016279,0.5754979704016279,0.5735151894364389,0.5647885770290747,0.575363552867822,0.018346086572641612,0.026784133653559486,52.62607941040593,51.450907486659766,0.008438047080917874,1.1751719237461629,53
12,9,L12H9,0.5747973208257897,0.5747973208257897,0.5542514276438655,0.583186224702446,0.5481228157288406,0.12178012437518985,0.10593061396717227,8.782570655818223,9.77266478430084,-0.01584951040801759,-0.9900941284826175,54
1,16,L1H16,0.5702761307031254,0.5702761307031254,0.736756502668921,0.7535080320533665,0.7332084002795193,0.07754800973952501,0.08446210212846826,12.271480048927502,12.128862945540435,0.006914092388943249,0.14261710338706735,55
1,15,L1H15,0.5689061819651777,0.5689061819651777,0.545892746468874,0.5944484763446896,0.5356082705122193,0.09749957842045817,0.11412594554922019,10.380902985939967,7.50169997346345,0.016626367128762018,2.879203012476517,56
16,2,L16H2,0.5565380016202223,0.5565380016202223,0.5312652222958119,0.5868315732684629,0.5194958430271067,0.058902792889496375,0.10425011054524835,50.773262052093145,19.994248629101605,0.04534731765575198,30.77901342299154,57
1,6,L1H6,0.5533780330262907,0.5533780330262907,0.7044532075711437,0.7119728553740458,0.7028604884990743,0.11483006521888163,0.12251518157946215,6.449461246351267,6.0561023728875885,0.007685116360580516,0.39335887346367837,58
26,9,L26H9,0.5470634830313286,0.5470634830313286,0.6447891263971371,0.7047914144122738,0.6320801816440833,0.00949099719866939,0.018899677424480184,610.4460584068255,260.96350260587815,0.009408680225810795,349.48255580094735,59
17,15,L17H15,0.5438095596546655,0.5438095596546655,0.5221178343043382,0.46557319361245497,0.5340944228379813,0.009562228431646851,0.012337180912240713,94.01218730330312,96.56292998461822,0.0027749524805938623,-2.5507426813151,60
11,0,L11H0,0.5400925210732608,0.5400925210732608,0.5693154430521127,0.5448304266593922,0.5745015572971929,0.014247560295565375,0.013097470987880657,41.14471375127163,44.93060756022017,-0.001150089307684718,-3.7858938089485363,61
0,4,L0H4,0.5395400181469782,0.5395400181469782,0.525407945672691,0.6012261041450775,0.5093490782664886,0.35771854033415346,0.44019981502253186,1.6847275065632146,1.194300835032396,0.0824812746883784,0.49042667153081854,62
16,31,L16H31,0.5369685737876708,0.5369685737876708,0.5692953904000795,0.498602007997447,0.5842687909333211,0.02216542906117165,0.042271322091759087,52.1159924779643,51.64842635959156,0.020105893030587435,0.4675661183727371,63
10,31,L10H31,0.5362721970824995,0.5362721970824995,0.6552506033527618,0.582667538146863,0.6706242531955205,0.04181572914808646,0.03534840041010828,34.54919587913261,73.00123948310105,-0.00646732873797818,-38.452043603968434,64
1,3,L1H3,0.5348941816626813,0.5348941816626813,0.530304056609593,0.5864721704488514,0.5184072193508822,0.23570247371306366,0.28464637449146113,1.939852417886462,1.3043762288954388,0.04894390077839747,0.6354761889910232,65
1,12,L1H12,0.5340501962319618,0.5340501962319618,0.5346546910594661,0.5854259673720119,0.5239009453767114,0.3911582652008396,0.44793600556840274,1.2634679364095505,0.9258155785042669,0.05677774036756311,0.3376523579052836,66
16,22,L16H22,0.5335186567117197,0.5335186567117197,0.5382065488608383,0.5244668350480068,0.5411167256148647,0.06073311699190359,0.05146738192110764,11.973891918985455,13.840430103272334,-0.00926573507079595,-1.8665381842868793,67
15,9,L15H9,0.5299660048232667,0.5299660048232667,0.5838718554411984,0.41480442890148056,0.6196816329432201,0.015023722730833909,0.015062724952645514,45.018957186377676,70.96141537183091,3.900222181160533e-05,-25.942458185453233,68
1,24,L1H24,0.5289463673756644,0.5289463673756644,0.6281651575801241,0.6526566534891896,0.6229776709237914,0.09908245974916151,0.11166428888417278,14.71076328707757,13.57158348718321,0.012581829135011269,1.139179799894361,69
