rank,head_id,layer,head,fused_score,Itext_all,text_percentile,C_toi_HminusG,contrast_percentile,Itext_hallucinated,Itext_grounded,Img_hallucinated,Img_grounded,LogTOI_gap_HminusG,RawTOI_gap_HminusG
91,L14H1,14,1,0.6212121212121212,0.10439546143549586,0.364613880742913,2.15004280202928,0.8778103616813294,0.15594183906050754,0.07909188981495756,0.0494717206836732,0.0456330818670422,0.48798998375222724,2.15004280202928
92,L9H25,9,25,0.6177908113391984,0.16804972021840353,0.509286412512219,0.5538780041738329,0.7262952101661779,0.23051777654442906,0.15578171985442413,0.04202578383043778,0.037560896001048595,0.09721083643163997,0.5538780041738329
93,L16H28,16,28,0.6133919843597263,0.10099091809908768,0.35581622678396874,1.9036044875252136,0.8709677419354839,0.13186917078396507,0.09624883890484964,0.0280653514152716,0.02882913304440802,0.3273273401418493,1.9036044875252136
94,L12H15,12,15,0.6114369501466276,0.10570751277508256,0.36852394916911047,1.4704149529242252,0.8543499511241447,0.17005530073623026,0.08675478781734765,0.04708342118696733,0.04389752222839014,0.49342368692310146,1.4704149529242252
95,L10H1,10,1,0.6080156402737048,0.7849413944564938,0.9921798631476051,0.0,0.22385141739980452,0.8001837626961638,0.8213150403852569,0.020049100572412663,0.017100999225451295,-0.044251884575579936,-2.6409412475332132
96,L12H17,12,17,0.6070381231671553,0.2263801632314905,0.624633431085044,0.2545183744725117,0.5894428152492668,0.18374488866033634,0.18075856275065652,0.03522303823597175,0.03827114386598491,0.04494492942978123,0.2545183744725117
97,L10H30,10,30,0.593841642228739,0.7299106678872544,0.9843597262952102,0.0,0.20332355816226788,0.8542847790993935,0.8243680171793399,0.04950365547306281,0.03499961115794475,-0.3233186212782351,-10.047904856279072
98,L13H3,13,3,0.5791788856304985,0.18576596119185224,0.5513196480938416,0.27757939754997407,0.6070381231671554,0.1771363320429463,0.1514462510633735,0.06729152379942334,0.06880723789084557,0.10697894618091408,0.27757939754997407
99,L12H23,12,23,0.5791788856304985,0.07925738346142341,0.27663734115347016,2.208823988703381,0.8817204301075269,0.17049267567878912,0.12265291335529455,0.01691736367123186,0.01599214613104666,0.23749677379677525,2.208823988703381
100,L11H6,11,6,0.5782013685239492,0.5914540733981886,0.956989247311828,0.0,0.19941348973607043,0.6453911568507675,0.709411701926306,0.08675533533096313,0.06907615306990107,-0.22697328714111809,-3.0952006986244243
